id	cuisine_description
2	African
3	American
6	Australian
7	Bagels/Pretzels
10	Barbecue
12	Brazilian
13	Caf̩/Coffee/Tea
16	Caribbean
17	Chicken
20	Chinese/Cuban
22	Continental
23	Creole
25	Czech
28	Eastern European
30	English
32	Filipino
33	French
36	Greek
38	Hawaiian
40	Hotdogs/Pretzels
42	Indian
44	Iranian
45	Irish
47	Japanese
49	Juice, Smoothies, Fruit Salads
51	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
53	Mexican
55	Moroccan
58	Other
60	Pancakes/Waffles
61	Peruvian
64	Polish
65	Polynesian
68	Salads
69	Sandwiches
71	Scandinavian
74	Soups
75	Soups & Sandwiches
78	Steak
79	Tapas
81	Thai
84	Vietnamese/Cambodian/Malaysia
1	Afghan
4	Armenian
5	Asian
8	Bakery
9	Bangladeshi
11	Bottled beverages, including water, sodas, juices, etc.
14	Cajun
15	Californian
18	Chilean
19	Chinese
21	Chinese/Japanese
24	Creole/Cajun
26	Delicatessen
27	Donuts
29	Egyptian
31	Ethiopian
34	Fruits/Vegetables
35	German
37	Hamburgers
39	Hotdogs
41	Ice Cream, Gelato, Yogurt, Ices
43	Indonesian
46	Italian
48	Jewish/Kosher
50	Korean
52	Mediterranean
54	Middle Eastern
56	Not Listed/Not Applicable
57	Nuts/Confectionary
59	Pakistani
62	Pizza
63	Pizza/Italian
66	Portuguese
67	Russian
70	Sandwiches/Salads/Mixed Buffet
72	Seafood
73	Soul Food
76	Southwestern
77	Spanish
80	Tex-Mex
82	Turkish
83	Vegetarian
